ticker,average_weight,simulation,strategy
VT,0.16836307692307703,17,max_sharpe
BND,0.0,17,market_cap
GLD,0.0,17,market_cap
GSG,0.0,17,market_cap
SGOV,0.0,17,market_cap
VT,1.0,17,market_cap
BND,0.19999999999999957,17,equal_weight
GLD,0.19999999999999957,17,equal_weight
GSG,0.19999999999999957,17,equal_weight
SGOV,0.19999999999999957,17,equal_weight
VT,0.19999999999999957,17,equal_weight
BND,0.3000000000000002,18,min_variance
GLD,0.09999999999999978,18,min_variance
GSG,0.09999999999999978,18,min_variance
SGOV,0.39999999999999913,18,min_variance
VT,0.09999999999999978,18,min_variance
BND,0.2676686324786329,18,max_sharpe
GLD,0.3067954700854698,18,max_sharpe
GSG,0.09999999999999978,18,max_sharpe
SGOV,0.18958564102564135,18,max_sharpe
VT,0.13595008547008533,18,max_sharpe
BND,0.0,18,market_cap
GLD,0.0,18,market_cap
GSG,0.0,18,market_cap
SGOV,0.0,18,market_cap
VT,1.0,18,market_cap
BND,0.19999999999999957,18,equal_weight
GLD,0.19999999999999957,18,equal_weight
GSG,0.19999999999999957,18,equal_weight
SGOV,0.19999999999999957,18,equal_weight
VT,0.19999999999999957,18,equal_weight
BND,0.3000000000000002,19,min_variance
GLD,0.09999999999999978,19,min_variance
GSG,0.09999999999999978,19,min_variance
SGOV,0.39999999999999913,19,min_variance
VT,0.09999999999999978,19,min_variance
BND,0.3196101709401704,19,max_sharpe
GLD,0.27497837606837605,19,max_sharpe
GSG,0.1000511111111109,19,max_sharpe
SGOV,0.17640598290598275,19,max_sharpe
VT,0.1289543589743589,19,max_sharpe
BND,0.0,19,market_cap
GLD,0.0,19,market_cap
GSG,0.0,19,market_cap
SGOV,0.0,19,market_cap
VT,1.0,19,market_cap
BND,0.19999999999999957,19,equal_weight
GLD,0.19999999999999957,19,equal_weight
GSG,0.19999999999999957,19,equal_weight
SGOV,0.19999999999999957,19,equal_weight
VT,0.19999999999999957,19,equal_weight
BND,0.3000000000000002,20,min_variance
GLD,0.09999999999999978,20,min_variance
GSG,0.09999999999999978,20,min_variance
SGOV,0.39999999999999913,20,min_variance
VT,0.09999999999999978,20,min_variance
BND,0.27811230769230805,20,max_sharpe
GLD,0.28963658119658103,20,max_sharpe
GSG,0.1030042735042733,20,max_sharpe
SGOV,0.18573384615384592,20,max_sharpe
VT,0.14351299145299135,20,max_sharpe
BND,0.0,20,market_cap
GLD,0.0,20,market_cap
GSG,0.0,20,market_cap
SGOV,0.0,20,market_cap
VT,1.0,20,market_cap
BND,0.19999999999999957,20,equal_weight
GLD,0.19999999999999957,20,equal_weight
GSG,0.19999999999999957,20,equal_weight
SGOV,0.19999999999999957,20,equal_weight
VT,0.19999999999999957,20,equal_weight
BND,0.3000000000000002,21,min_variance
GLD,0.09999999999999978,21,min_variance
GSG,0.09999999999999978,21,min_variance
SGOV,0.39999999999999913,21,min_variance
VT,0.09999999999999978,21,min_variance
BND,0.2854335897435902,21,max_sharpe
GLD,0.2138937606837604,21,max_sharpe
GSG,0.09999999999999978,21,max_sharpe
SGOV,0.21484008547008537,21,max_sharpe
VT,0.18583256410256466,21,max_sharpe
BND,0.0,21,market_cap
GLD,0.0,21,market_cap
